RDUFF;fairfield-inn-and-suites-durham
GCMGC;grand-cayman-marriott-resort
LASCH;courtyard-las-vegas-convention-center
SOUOX;moxy-southampton
LHRSI;sheraton-heathrow-hotel
CUNAL;aloft-cancun
MIABA;aloft-miami-brickell
MOBST;studiores-mobile
PAROP;citizenm-paris-opera
YEGWF;four-points-sherwood-park
MADFT;eugenia-de-montijo-autograph-collection
FUOTF;fairfield-taishan
TAOMC;qingdao-marriott-hotel-jiaozhou
KWLAY;aurua-yangshuo-sugar-house-a-member-of-design-hotels
SCKTT;towneplace-suites-tracy
MFERI;residence-inn-mcallen
BQNCY;courtyard-aguadilla
PFOPA;almyra-a-member-of-design-hotels
MILMI;ac-hotel-milano
ROMAB;sina-bernini-bristol-autograph-collection
ABZOX;moxy-aberdeen-airport
SATCD;courtyard-san-antonio-downtown-market-square
NCEAC;ac-hotel-nice
PNQRD;the-fern-samali-resort-dapoli-series
BWIEX;city-express-elkridge
CMEJC;city-express-junior-ciudad-del-carmen
MIAFA;four-points-by-sheraton-miami-airport
HSNZF;fairfield-zhoushan-daishan
DTWRR;residence-inn-detroit-dearborn
BCNDL;ac-hotel-diagonal-lilla
CPHOX;moxy-copenhagen
PARPR;renaissance-paris-republique-hotel
HOUSL;houston-marriott-sugar-land
SMVDS;giardino-mountain-champfer-a-member-of-design-hotels
ONTBB;postcard-cabins-big-bear-outdoor-collection-bonvoy
LJUFP;four-points-ljubljana-mons
ISKFR;rakabi-the-fern-igatpuri-series
NYCYS;sheraton-brooklyn-new-york-hotel
LNSTS;towneplace-suites-lancaster
MXLCY;courtyard-mexicali
SPUMD;le-meridien-lav-split
BCNSA;ac-hotel-sants
YWATS;towneplace-suites-petawawa
CTUTF;fairfield-chengdu-tianfu-square
HOUAK;hotel-icon-autograph-collection
SATTN;towneplace-suites-san-antonio-northwest
YEGEC;delta-hotels-edmonton-centre-suites
SANTD;towneplace-suites-san-diego-downtown
MIALD;brickell-arch-a-luxury-collection-hotel-miami
JHGXP;four-points-xishuangbanna
GPADS;dexamenes-seaside-hotel-a-member-of-design-hotels
YQRCY;courtyard-regina-downtown
PNQRR;the-fern-riverview-resort-chiplun-series
LONTL;citizenm-tower-of-london
LISXA;moxy-alfragide-lisboa
SLPCL;city-centro-san-luis-potosi
DNHFP;four-points-dunhuang
LIMLM;courtyard-lima-miraflores
LISEI;immerso-hotel-a-member-of-design-hotels
CHICO;springhill-suites-chicago-ohare
SBZSS;courtyard-downtown-sibiu
LILRI;residence-inn-lille
